Course Title,Course Reference Number,TP Name,TP UEN,Programme Type,About This Course,What You'll Learn,TSC Category,TSC Title/Skill,Training Provider,WSQ/Non-WSQ,Appears in 11K list?
,TGS-2022015443,,,,,,Manufacturing and Operations,Manufacturing Process Management,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-WSQ,N
,TGS-2022015443,,,,,,Quality Management,Quality System Management,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-WSQ,N
,TGS-2020510522,,,,,,Manufacturing and Operations,Manufacturing Process Management,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2012501135,,,,,,Manufacturing and Operations,Manufacturing Technology,KEPPEL FELS LIMITED,SSG-WSQ,N
,TGS-2022015448,,,,,,Manufacturing and Operations,Manufacturing Technology,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2022015448,,,,,,Precision Manufacturing Process,Cutting,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2022015448,,,,,,Value Engineering,Sustainable Manufacturing,TEXTILE AND FASHION INDUSTRY TRAINING CENTRE PTE LTD,SSG-NON-WSQ,N
,TGS-2018502146,,,,,,Manufacturing and Operations,Manufacturing Technology,GLOBALFOUNDRIES SINGAPORE PTE. LTD.,SSG-WSQ,N
,TGS-2018502308,,,,,,Manufacturing and Operations,Manufacturing Technology,GLOBALFOUNDRIES SINGAPORE PTE. LTD.,SSG-WSQ,N
,TGS-2023035709,,,,,,Manufacturing and Operations,Manufacturing Technology,SIEMENS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023035709,,,,,,Organisational Development,Change Management,SIEMENS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023035709,,,,,,Precision Manufacturing Process,Additive Manufacturing,SIEMENS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023035709,,,,,,Precision Manufacturing Process,Metal-based Additive Manufacturing,SIEMENS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023035709,,,,,,Precision Manufacturing Process,Polymeric Additive Manufacturing,SIEMENS PTE. LTD.,SSG-NON-WSQ,N
,TGS-2020001443,,,,,,Manufacturing and Operations,Manufacturing Technology,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2020507497,,,,,,Manufacturing and Operations,Manufacturing Technology,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2020507498,,,,,,Manufacturing and Operations,Manufacturing Technology,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2020507498,,,,,,Precision Manufacturing Process,Additive Manufacturing,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2020513714,,,,,,Manufacturing and Operations,Manufacturing Technology,CONCORD ASSOCIATES PTE. LTD.,SSG-WSQ,N
,TGS-2023018263,,,,,,Manufacturing and Operations,Manufacturing Technology,CONCORD ASSOCIATES PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023018263,,,,,,Workplace Safety and Health Management,Workplace Safety and Health Practice,CONCORD ASSOCIATES PTE. LTD.,SSG-NON-WSQ,N
,TGS-2023018263,,,,,,Workplace Safety and Health Management,Workplace Safety and Health System Management,CONCORD ASSOCIATES PTE. LTD.,SSG-NON-WSQ,N
,TGS-2022012534,,,,,,Manufacturing and Operations,Manufacturing Technology,Building and Construction Authority,SSG-NON-WSQ,N
,TGS-2018508157,,,,,,Manufacturing and Operations,Manufacturing Technology,Nanyang Polytechnic,SSG-NON-WSQ,N
,TGS-2018508732,,,,,,Manufacturing and Operations,Manufacturing Technology,Republic Polytechnic,SSG-NON-WSQ,N
,TGS-2021002058,,,,,,Manufacturing and Operations,Manufacturing Technology,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021009221,,,,,,Manufacturing and Operations,Manufacturing Technology,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021009227,,,,,,Manufacturing and Operations,Manufacturing Technology,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2022010640,,,,,,Manufacturing and Operations,Manufacturing Technology,Temasek Polytechnic,SSG-WSQ,N
,TGS-2021006758,,,,,,Manufacturing and Operations,Precision Measurement,HSA Chemical Metrology Division,SSG-NON-WSQ,N
,TGS-2021006759,,,,,,Manufacturing and Operations,Precision Measurement,HSA Chemical Metrology Division,SSG-NON-WSQ,N
,TGS-2021004056,,,,,,Network Technology Management,Augmented Reality Application,SINGAPORE MANAGEMENT UNIVERSITY,SSG-NON-WSQ,N
,TGS-2019508669,,,,,,Network Technology Management,Augmented Reality Application,Republic Polytechnic,SSG-NON-WSQ,N
,TGS-2019508680,,,,,,Network Technology Management,Augmented Reality Application,Republic Polytechnic,SSG-NON-WSQ,N
,TGS-2022016767,,,,,,Network Technology Management,Cyber Risk Management,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2022017352,,,,,,Network Technology Management,Cyber Risk Management,NTUC LEARNINGHUB PTE. LTD.,SSG-WSQ,N
,TGS-2021002593,,,,,,Network Technology Management,Cyber Risk Management,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,SSG-NON-WSQ,N
,TGS-2020512973,,,,,,Network Technology Management,Cyber Risk Management,NATIONAL UNIVERSITY OF SINGAPORE,SSG-NON-WSQ,N
,TGS-2022012282,,,,,,Network Technology Management,Cyber Risk Management,EXIDA ASIA PACIFIC PTE. LTD.,SSG-NON-WSQ,N
,TGS-2021010285,,,,,,Network Technology Management,Cyber Risk Management,LONDON SCHOOL OF BUSINESS & FINANCE PTE. LTD.,SSG-WSQ,N
,TGS-2022011809,,,,,,Network Technology Management,Cyber Risk Management,"ACADEMY OF SECURITY, INTELLIGENCE AND RISK STUDIES PTE. LTD.",SSG-NON-WSQ,N
,TGS-2021010120,,,,,,Network Technology Management,Cyber Risk Management,Singapore Polytechnic,SSG-NON-WSQ,N
,TGS-2021009057,,,,,,Network Technology Management,User Experience Design,SSA ACADEMY PTE. LTD.,SSG-WSQ,N
,TGS-2022011370,,,,,,Network Technology Management,User Experience Design,CURIOUSCORE PTE. LTD.,SSG-NON-WSQ,N
,TGS-2020501245,,,,,,Network Technology Management,User Experience Design,PLAYEUM LTD.,SSG-NON-WSQ,N
,TGS-2020513687,,,,,,Network Technology Management,User Experience Design,OSMIUM PTE. LTD.,SSG-WSQ,N
,TGS-2019500402,,,,,,Network Technology Management,User Experience Design,Nanyang Polytechnic,SSG-NON-WSQ,N
,TGS-2022011231,,,,,,Network Technology Management,User Interface Design,BELLS ACADEMIC GROUP PTE. LTD.,SSG-WSQ,N
,TGS-2020503960,,,,,,Network Technology Management,User Interface Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020503961,,,,,,Network Technology Management,User Interface Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020513164,,,,,,Network Technology Management,User Interface Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2020513167,,,,,,Network Technology Management,User Interface Design,Institute of Technical Education,SSG-NON-WSQ,N
,TGS-2012501093,,,,,,Organisational Development,Change Management,SOCOTEC CERTIFICATION SINGAPORE PTE. LTD.,SSG-WSQ,N
,TGS-2021008351,,,,,,Organisational Development,Change Management,Ep-Tec Solutions Pte Ltd,SSG-NON-WSQ,N
